"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Lebih Jelas lagi pak jelasinnya..........hehehe.....","107","117","15","20121","4","3","3","4","3","2","3","3","3","3","199"
"Dosen Menjelaskan Terlalu Cepat","108","117","15","20121","3","3","2","4","3","3","4","2","2","4","199"
"Dalam menjelaskan agak terlalu cepat, penilaian semoga menguntungkan siswa","109","117","15","20121","3","3","2","4","3","3","4","2","2","4","199"
"Lanjutkan dan tingkatkan kualitas pembelajaran jangan ngasih tugas yang susah-susah","110","117","15","20121","3","4","3","4","3","2","2","3","2","3","199"
"Cara mengajar dosen kurang dapat di pahami","111","117","15","20121","3","3","3","4","3","2","4","2","3","3","199"
"Memahami kemampuan mahasiswa dlm menerima materi","112","117","15","20121","4","4","3","4","3","3","4","3","3","4","199"
"Masih bingung dalam menerapkan program","114","117","15","20121","3","3","3","4","2","2","4","3","3","4","199"
"Lebih banyak lagi memeberi motivasi untuk mahasiswa, selalu tepat waktu","115","117","15","20121","4","4","4","4","3","2","3","4","4","3","199"
"Tepat waktu tidak pernah inhal, pemberian motivasi cukup membangun","116","117","15","20121","4","4","4","4","3","2","3","3","3","2","199"
"Selalu memberikan semangat belajar kepada para mahasiswa","117","117","15","20121","4","4","4","4","3","2","4","3","3","3","199"
"Dosen seharusnya lebih santai agar mahasiswa dapat mempelajarinya","118","110","2","20121","4","3","3","4","2","3","4","4","3","2","194"
"dengan ini saya sarankan kepada ibu guru agar mengajarnya tdk terlalu serius","120","110","2","20121","3","4","3","4","4","4","2","3","4","3","194"
"Ibu tolong terangkannya di kasi pelan-pean bu....","121","110","2","20121","3","4","3","4","3","3","4","2","4","4","194"
"Ibu sangat kreativ jadi dosen","122","110","2","20121","4","4","4","4","4","4","4","4","4","4","194"
"Jangan terlalu cepat memberikan penjelasan","123","110","2","20121","4","3","3","3","4","2","4","3","2","3","194"
"semangat!!","124","121","22","20121","4","4","4","4","3","2","3","3","3","3","196"
"Ibu harus lebih baik dan lebih baik lagi good luck....!","129","110","2","20121","4","4","3","4","3","2","3","3","3","3","194"
"Mengajarnya jangan terlalu cepat","131","121","22","20121","4","4","4","4","3","2","3","3","3","3","196"
"Tingkatkan","132","110","2","20121","3","3","3","4","4","2","3","2","3","3","194"
"Tingkatkan!!","133","121","22","20121","3","3","4","3","4","3","3","4","3","2","196"
"Lanjutkan","134","110","2","20121","4","4","4","4","3","3","3","4","4","4","194"
"Bagus mengajarnya dan tingkatkan","136","121","22","20121","4","4","4","4","4","4","4","4","4","4","196"
"Tugasnya jangan yang panjang-panjang bu !!","139","110","2","20121","4","4","4","4","3","2","3","3","3","3","194"
"Kurangi tugas","140","110","2","20121","3","3","3","3","3","3","1","3","3","3","194"
"Cocok jd dosen logika inform, lucu dan memberikan materi dgn sabar & jelas.","141","121","22","20121","4","4","4","4","4","3","2","4","4","3","196"
"Karena mata kuliah bhs ind. mungkin bagi kebanyakan mhs kurang begitu menarik bagi kalangan jurusan t. inf. khususnya maka lebih kepada berikan pertanyaan pada mhs","143","110","2","20121","4","3","3","4","3","1","4","4","3","3","194"
"Ibu jgn galak2 dong kalo lagi ngajar","145","121","22","20121","3","3","3","3","3","3","3","3","3","3","196"
"Asik perkuliannya, disiplin waktu","147","110","2","20121","4","3","4","4","3","4","1","4","3","3","194"
"Kasih banyak contoh bu !!","148","121","22","20121","3","3","3","3","3","2","2","3","3","3","196"
"Cara mengajar sudah cukup bagus, lebih ditingkatkan .....","150","110","2","20121","4","4","4","4","4","2","3","3","3","4","194"
"Tolong bu bagiin hasil UTS.","152","121","22","20121","4","4","4","4","4","2","4","4","4","4","196"
"Agar terus mengembangkan","153","110","2","20121","4","4","4","4","4","3","4","4","4","4","194"
"Jangan ngasih banyak tugas","154","110","2","20121","3","3","3","4","3","2","1","3","3","3","194"
"Punten, bagikan hasil ujian.","156","121","22","20121","4","4","4","4","4","4","3","4","4","4","196"
"Good !!","164","130","51","20121","3","3","3","4","3","2","3","3","3","3","194"
"Pengajarannya gak usah terburu2 ya.","165","121","22","20121","3","3","3","3","3","3","3","3","3","3","196"
"Lanjutkan....","166","130","51","20121","4","4","4","4","3","3","3","3","4","4","194"
"Tetap dipertahankan","167","130","51","20121","4","3","4","4","3","3","3","3","3","3","194"
"Bu tolong terangkannya pelan2.","169","121","22","20121","3","4","4","3","4","3","4","4","3","3","196"
"Kasihan sama mahasiswa bu....","170","130","51","20121","3","3","3","3","3","3","3","3","3","3","194"
"Memberikan contoh yg mudah dipahami.","173","121","22","20121","4","3","4","4","4","2","4","3","4","4","196"
"Ditingkatkan terus kualitas dosen pengajar agar akreditasinya naik  lus ciyuss lho","174","130","51","20121","3","3","2","4","4","2","2","2","2","2","194"
"Kalau menulis jangan terlalu cepat Bu, menjelaskannya juga terlalu cepat","175","130","51","20121","4","4","3","4","4","4","3","3","3","4","194"
"Logika cool.....","177","121","22","20121","4","4","4","4","4","4","2","4","4","4","196"
"Tambah humoris lagi dong Bu...!","180","130","51","20121","3","3","3","4","3","3","3","3","3","3","194"
"Good !!!","181","130","51","20121","4","4","4","4","3","2","2","3","4","3","194"
"Dosen yg cool... pokoknya..","182","121","22","20121","4","4","4","4","4","4","2","4","4","4","196"
"Ganbate - kudasai, Sensei","184","130","51","20121","4","4","4","4","4","3","2","3","4","4","194"
"Tingkatkan lagi prestasinya.","185","121","22","20121","3","3","2","3","4","2","3","3","2","4","196"
"Joss !! Getar , membahana badai..","186","130","51","20121","4","4","4","4","4","3","3","4","4","4","194"
"Maju terus !!!","187","130","51","20121","4","4","3","4","3","2","3","3","3","3","194"
"Getar membahana badai gelombang !!","190","130","51","20121","3","4","3","4","3","4","2","3","4","4","194"
"Tingkatkan","191","130","51","20121","4","4","4","4","4","3","3","3","3","3","194"
"Ciyus...","193","130","51","20121","3","3","3","3","3","3","3","3","3","3","194"
"Best Dosen 2012 !","194","130","51","20121","4","4","4","4","4","4","4","3","4","3","194"
"Keep Istiqomah dalam menjalankan amanah sebagai seorang dosen.","195","130","51","20121","4","4","4","4","4","4","4","4","4","4","194"
"Sangat baik cara mengajarnya.","196","121","22","20121","4","4","4","4","4","4","4","4","4","4","196"
"Soal ujian akhirnya jangan susah-susah yaa bu...","199","130","51","20121","3","3","3","3","3","3","3","3","3","3","194"
"Tetap ngajar di uad.","203","121","22","20121","4","4","4","4","2","4","3","4","4","4","196"
"semangat buu","204","130","51","20121","4","4","4","4","4","4","4","4","4","4","194"
"Lanjutkan....","205","130","51","20121","4","4","3","3","3","3","2","3","3","4","194"
"Cukup baik bu... terimakasih","207","130","51","20121","4","4","4","4","4","4","4","4","4","3","194"
