"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Bangkitkan minat belajar mahasiswa dan waktu kuliahnya kurang lama.","4322","117","96","20121","4","3","4","4","4","4","4","3","4","4","197"
"Keren pak lanjutkan","4324","115","181","20121","4","4","3","4","3","4","4","4","3","3","199"
"Kurang menguasai kelas","4327","115","181","20121","4","3","3","4","3","1","3","3","2","3","199"
"Tingkatkan lagi","4329","115","181","20121","3","3","3","3","3","2","3","3","3","3","199"
"Kuasai kelas dgn baik, agar materi yg disampaikan lebih mudah diterima mahasiswa","4330","115","181","20121","0","4","0","0","4","2","4","3","3","3","199"
"Lajukan...!!","4331","139","82","20121","3","3","3","3","3","3","3","3","3","3","197"
"Lebih jelas dalam menjelaskan kepada mahasiswa","4332","115","181","20121","4","4","3","4","4","3","4","3","3","4","199"
"Leep Spirit","4334","139","82","20121","3","3","2","4","3","2","2","3","3","2","197"
"Ditingkatkan lagi","4335","139","82","20121","3","3","3","3","3","3","3","3","3","3","197"
"Pak dosen nyaris ""perfecto""","4336","115","181","20121","4","3","3","4","4","4","4","3","3","4","199"
"Mantap","4337","115","181","20121","4","4","3","4","4","3","4","3","3","3","199"
"Moga cepat sembuh pak ! Allah selalu menolong hambanya yang lemah","4338","139","82","20121","3","2","2","3","2","2","2","2","3","3","197"
"Semangat","4339","139","82","20121","3","3","3","4","3","2","2","3","3","4","197"
"ontime","4340","139","82","20121","3","3","3","3","3","3","2","3","3","3","197"
"Pertahankan kualitas","4341","139","82","20121","4","4","4","4","4","1","2","4","4","4","197"
"Utamakan Mahasiswa","4342","139","82","20121","4","3","3","4","3","1","2","3","3","3","197"
"Dengan metode diskusi, agar mahasiswa tidak ngantuk","4365","133","57","20121","3","3","2","3","3","1","2","2","2","2","197"
"Pertahankan cara mengajarnya","4366","133","57","20121","4","4","4","4","3","2","3","3","4","4","197"
"No Comment","4368","133","57","20121","3","3","3","3","3","3","3","3","3","3","197"
"Semangat..!!","4369","133","57","20121","4","4","4","4","4","2","3","3","4","2","197"
"Pertahankan !!!","4370","133","57","20121","3","3","3","3","3","3","3","3","3","3","197"
"No Comment","4378","190","127","20121","4","4","4","4","4","3","3","3","4","3","197"
"Menurut saya cara mengajar bapak cukup baik tapi saya harapkan bapak bisa lebih meningkatkan minat belajar mahasiswa yang saya rasa kurang berminat dengan mata kuliah ini","4398","185","109","20121","4","4","4","4","4","2","4","3","3","4","197"
"Menurut saya cara mengajar pak afan itu sangat enak, dan tetap dipertahankan agar mahasiswa semakin semangat dan tidak mengantuk","4399","185","109","20121","4","4","4","4","3","2","4","3","3","4","197"
"Menurut saya, pak afan sudah mengajar dan memberikan materi dengan baik dan dapat diterima dengan baik oleh saya, tapi maaf pak saya agak lemah dihitung2an","4400","185","109","20121","4","4","4","4","3","2","4","3","3","3","197"
"Kepada bapak afan kinerja bapak sebagai dosen telah baik, bapak sudah bisa menguasai kelas dan akrap terhadap mahasiswa. Harap dipertahankan. Semangat pak afan. Terimakasih buat motifasinya.","4401","185","109","20121","4","4","4","4","3","3","4","4","4","3","197"
"Mata kuliah yang diajar beliau sangat bagus dan jelas.","4403","185","109","20121","4","3","4","4","4","2","4","4","3","4","197"
"Dosennya sangat mengetahui apa yang diinginkan mahasiswa","4405","185","109","20121","4","4","4","4","3","3","3","3","4","3","197"
"Sabar dan berpengalaman dalam mengajar","4406","185","109","20121","4","4","4","4","3","3","4","3","3","3","197"
"Pada Saat Menulis rumus atau pembahasan soal di white board, tulisannya gak jelas terima kasih","4407","150","184","20121","4","3","2","3","3","2","2","3","3","3","199"
"Kuliah yang diajarkan oleh pak afan memuaskan bagi diri saya sendiri karena cara mengajar yang beliau lakukan sangat bagus dan materi yang disampikan mudah mengerti","4409","185","109","20121","4","3","4","4","3","2","2","4","3","4","197"
"Pak Afan baik, membimbing.","4410","185","109","20121","4","4","4","4","3","4","4","4","4","3","197"
"Pak Afan baik, pengertian sama mahasiswanya, Thanks...","4413","185","109","20121","4","4","4","4","3","3","4","3","4","4","197"
"Semoga dengan materi yang diberikan kepada kami cepat dimasuk.","4415","185","109","20121","3","4","4","4","3","2","2","4","4","3","197"
"Berikan kami nilai yang baik, is the best","4416","185","109","20121","4","4","4","4","4","4","3","3","3","4","197"
"Tulisan dan penjelasan dosen harus diperjelas karena mahasiswa kurang memahami tulisannya","4417","150","184","20121","3","1","1","1","2","2","1","1","1","1","199"
"Kedekatan kepada mahasiswa mohon ditingkatkan","4418","150","184","20121","4","4","4","4","3","2","2","2","3","3","199"
"Semoga akan membuat kami mejadi lebih baik dari yang sekarang melalui mata kuliah yang diajarkan","4419","185","109","20121","3","4","4","4","4","2","4","3","4","3","197"
"Meningkatkan kejelasan penyampaian materinya","4421","185","109","20121","3","3","3","4","3","3","4","3","3","3","197"
"Cara menjelaskan materi kuliah terlalu cepat","4422","150","184","20121","3","4","3","3","3","3","2","3","2","3","199"
"Dosen harus tau mahasiswa itu mengerti atau tidak dengan materinya","4423","185","109","20121","3","4","4","4","3","3","2","3","3","3","197"
"Jangan terlalu sepat menyapaian materinya","4425","185","109","20121","3","4","3","4","3","4","4","3","3","3","197"
"Cara menjelaskan jangan terlalu cepat","4426","150","184","20121","3","2","2","3","4","2","3","3","2","3","199"
"Tolong supaya tidak ada mahasiswa yang harus mengulang semster depan pak","4432","185","109","20121","3","4","3","3","4","4","2","3","3","3","197"
"Tolong jangan ada yang mengulang tahun ini","4433","185","109","20121","3","3","3","3","4","4","2","3","3","4","197"
"Tolong jngan ada yang mengulang, terimakasih","4435","185","109","20121","4","4","4","4","3","2","2","4","4","4","197"
"Untuk bpk wahyu menjelaskan jangan terlalu cepat","4436","150","184","20121","3","3","3","3","3","3","3","3","3","3","199"
"Tolong jangan ada yang mengulang, terimakasih.","4437","185","109","20121","4","4","3","4","3","2","2","2","3","3","197"
"Saran jika mengajar harap penulisan keterangan-keterangan pada papan diperjelas demi memudahkan mahasiswa untuk memahami mata kuliah","4439","150","184","20121","3","3","3","3","3","3","3","3","3","3","199"
"OK pak, afan, lanjutkan dan buktikan menjadi dosen yang terbaik","4440","185","109","20121","4","4","3","4","4","3","2","3","3","3","197"
