answer,preprocessing_result,sentimen
Ditingkatkan lagi cara penjelasannya.,tingkat cara jelas,0
"Kalau bisa lebih ditingkatkan, karena sekarang sudah bagus. MUANTAP",kalau lebih tingkat sekarang bagus muantap,0
Mantap,mantap,1
Cairkan suasana segingga kita tidak tegang,cair suasana segingga tidak tegang,1
Keren !!,keren,1
"Tingkatkan lagi bu, kalau bisa menampilkan slidenya lebih lama... cemungud bu",tingkat bu kalau tampil slidenya lebih lama cemungud bu,0
Sebaiknya menciptakan suasana yang menyenangkan sehingga tidak terlalu tegang dalam berlangsungnya perkuliahan.,baik cipta suasana senang tidak terlalu tegang langsung kuliah,1
"Buatlah suasana kelas menjadi enjoy saat perkuliahan berlangsung, karena sering kali kelas terasa tegang saat perkuliahan berlangsung sehingga materi mudah diterima mahasiswa dengan baik.",buat suasana kelas jadi enjoy kuliah langsung sering kali kelas asa tegang kuliah langsung materi mudah terima mahasiswa baik,0
"Mungkin hanya terlalu cepat saja saat ibu mengajar, sebaiknya diperlambat supaya mahasiswa lebih mudah memahami materi",mungkin terlalu cepat saat ibu ajar baik lambat mahasiswa lebih mudah paham materi,0
"Buatlah suasana kelas dalam perkuliahan menjadi enjoy, karena sering kali suasana kelas terasas tegang",buat suasana kelas kuliah jadi enjoy sering kali suasana kelas asas tegang,1
"Cara menyampaikan materi bagus, tetapi agak membosankan",cara materi bagus agak bosan,0
Beri nilai yg terbaik bagi mhs biar cepat lulus,beri nilai yg baik mhs biar cepat lulus,1
Pilih yg terbaik untuk mhs tetap semangay untuk memberi nilai baik. Jangan menjadi musuh mhs,pilih yg baik mhs tetap semangay beri nilai baik jangan jadi musuh mhs,1
Apabila mengajar suasananya jangan menegangkan dan apabila ditanyai mahasiswa menjawabnya jangan terlalu sadis,apabila ajar suasana jangan tegang apabila tanya mahasiswa jawab jangan terlalu sadis,0
Jadilah teman buat mhs agar mereka dapat bahagiagia,jadi teman buat mhs mereka bahagiagia,1
Is the best pokoknya dosen wali yg paling baik,is the best pokok dosen wali yg paling baik,1
kurang mengkondisikan kelas sehingga yg mudeng-mudeng banget yg enggak-enggak banget,kurang kondisi kelas yg mudeng-mudeng banget yg enggak banget,1
Buat suasana belajar lebih asik,buat suasana ajar lebih asik,1
Good Job !,good job,0
Dalam Mengajar agak terlalu cepat mungkin bisa di perlambat sedikit supaya materi yang disampaikan tersampaikan kepada mahasiswa,ajar terlalu cepat mungkin di lambat sedikit materi sampai kepada mahasiswa,0
Sebaiknya ibu memberi bermacam-macam contoh sehingga kita tidak kebalik-balik dengan beragam soal. dan jangan selalu memperhatikan yang pintar-pintar terus.,baik ibu beri macam contoh kita balik agam soal jangan selalu perhati pintar terus,1
"Lebih meningkatkan minat belajar mahasiswa, agar mahasiswa lebih mudah memahami.",lebih tingkat minat ajar mahasiswa mahasiswa lebih mudah paham,0
"Jadikan suasana kelas jangan terlalu tegang sehingga dalam penyerapan materi dapat secara serius, santai.",jadi suasana kelas jangan terlalu tegang dalam serap materi cara serius santai,1
"Mohon diperhatikan dalam pemberian soal saat UTS karena kemrin sampai bisa salah soal , bukankah dlm pembuatan soal ada pengechekan terlebih dahulu ??",mohon perhati beri soal uts kemrin bisa salah soal bukankah dlm buat soal pengechekan lebih,1
"Dosen dalam mengajar sudah baik, akan tetapi dalam memberikan contoh kurang begitu banyak sehingga kurang memahami.",dosen ajar baik tetapi beri contoh kurang banyak kurang paham,0
Lanjutkan !!!,lanjut,0
Jangan membeda-bedakan mahasiswa yang satu dengan yang lainnya,jangan beda mahasiswa satu yang,1
"Suasana kelas dibuat santai, jangan menegangkan.",suasana kelas buat santai jangan tegang,1
Ok !!!,,0
"Dosen memberikan materi dalam matakuliah cukup baik dan mudah untuk dimengerti, sehingga cukup untuk meningkatkan belajar para mahasiswa",dosen beri materi matakuliah cukup baik mudah erti cukup tingkat ajar mahasiswa,1
Tidak boleh pilih kasih,boleh pilih kasih,1
No coment !! dosen ini layak !!,no coment dosen layak,1
Shipz,shipz,0
"Buat suasana yang menyenangkan dalam belajar, jangan membuat mahasiswa terlalu tegang",buat suasana senang ajar jangan buat mahasiswa terlalu tegang,0
Over all good performance !!,over all good performance,0
"Buat suasana dikelas menjadi nyaman dan menyenangkan saat kegiatan belajar, jangan membuat mahasiswa terlalu tegang.",buat suasana kelas jadi nyaman senang giat ajar jangan buat mahasiswa terlalu tegang,0
Beliau sebenarnya,beliau benar,1
"Akan lebih baik jika dalam perkuliahan diadakan diskusi, karena mata kuliah ini menyangkut etika dan penerapannya",lebih baik dalam kuliah diskusi mata kuliah sangkut etika terap,1
Jangan membeda-bedakan.,jangan beda,1
Perkuliahan etika sudah efektif joss !!,kuliah etika efektif joss,1
Saya tidak mengasih saran kepada ibu krn penjelasan ibu dan cara mengajar ibu sudah sangat baik,tidak asih saran ibu krn jelas ibu cara ajar ibu sangat baik,0
Menjelaskan lebih menyeluruh,jelas lebih seluruh,0
Mohon untuk tidak terlambat !,mohon tidak lambat,0
Ayoo bu tambah semangat biar mhs juga ikutan semangat,ayoo bu tambah semangat biar mhs ikut semangat,1
baik dalam mengajar,baik ajar,0
Dosen lebih tegas mengecek absensi ulang,dosen lebih tegas ecek absensi ulang,0
Lanjutkan.......,lanjut,0
Semangat ....,semangat,1
Terus semangat bu !,terus semangat bu,1
"Konsisten jika membuat kesepakatan, misal : keterlambatan mahasiswa 15 menit.",konsisten buat sepakat misal lambat mahasiswa 15 menit,0
Kalau bisa ada tugas prakteknya agar mahasiswa lebih paham tentang dunia kewirausahaan,kalau ada tugas praktek mahasiswa lebih paham dunia kewirausahaan,0
Jangan Pelit-pelit nilai ya bu....,jangan pelit nilai bu,1
Banyak beri contoh dalam penjelasan materi,banyak beri contoh jelas materi,0
Mudahkan nilai bu...!,mudah nilai bu,1
"Jika mengajar lebih aplikatif lagi... dengan berikan kasus-kasus dilapangan yang real, jika perlu di tambah dengan tugas ke lapangan secara real...",ajar lebih aplikatif ikan kasus lapang real perlu tambah dengan tugas lapang cara real,0
Dalam mengenal mahasiswa mohon jgn objektif dan monoton itu-itu saja,kenal mahasiswa mohon jgn objektif monoton saja,0
Menjelaskan materi terlalu serius sehingga kurang menarik mahasiswa untuk memahami terlalu dalam,jelas materi terlalu serius kurang tarik mahasiswa paham terlalu,0
Semoga saya dapat nilai yang sangat baik,moga dapat nilai sangat baik,1
Semoga Kami Mendapat nilai yang bagus agar lulus di mata kuliah etika profesi,moga dapat nilai bagus lulus mata kuliah etika profesi,1
Ruang ber AC bu....,ruang ber ac bu,0
Mencatatnya terlalu banyak,catat terlalu banyak,0
Tepat waktu,tepat waktu,1
Lebih baik lagi,lebih baik,1
agar ditingkatkan lagi,tingkat,0
sangat baik untuk memberikan materi kuliah,sangat baik beri materi kuliah,1
Penjelasan materi diharapkan jangan terlalu cepat,jelas materi harap jangan terlalu cepat,0
Selamat anda mendapat nilai 30,selamat dapat nilai 30,0
Still Fine,still fine,0
sudah cukup baik,cukup baik,1
Sudah cukup baik hanya perlu ditingkatkan lagi agar lebih baik,cukup baik perlu tingkat agar lebih baik,0
Perbaiki kekurangan  pertahankan yang baik,baik kurang tahan baik,1
"Lebih ditingkatkan lagi karena sekarang sdh bagus, good luck...",lebih tingkat karena sekarang sdh bagus good luck,0
sangat baik,sangat baik,1
Good job ,good job,0
mantap...!!!,mantap,1
semangat ibu dan tambah semangat dan terimakasih,semangat ibu tambah semangat terimakasih,1
"sangat menyenangkan Bu, suasana kelas menjadi lebih tenang tapi tetap serius dan mengasyikkan ....",sangat senang bu suasana kelas jadi lebih tenang tetap serius asyik,1
Perfect !!!,perfect,0
Pak UAS nya tolong open book ya ??,pak uas nya open book,1
Nyalon jadi kaprodi aja Pak / open book,nyalon jadi kaprodi aja pak open book,1
Lanjutkan Pak!!,lanjut pak,1
Alhamdulillah bagus.,alhamdulillah bagus,1
"Sangat menarik dengan wejangan-wejangandari bapak, yang neginspirasi. Terimakasih untuk kesabaran bapak membimbing angkatan 2011",sangat tarik wejangan-wejangandari bapak neginspirasi terimakasih sabar bapak bimbing angkat 2011,1
Pada saat menjelaskan saya minta bapak untuk menjelaskan secara pelan-pelan,saat jelas minta bapak jelas cara pelan,0
Sedikit Ngantuk pak..,sedikit ngantuk pak,1
Contoh mengaplikasian dalam kehidupan sehari-hari!,contoh aplikasi hidup hari,0
Penjelasan tentang contoh soalnya pak...,jelas contoh soal pak,0
"Tingkatkan lagi proses mengajar, agar mahasiswa",tingkat proses ajar mahasiswa,0
Good Job Pak. Tambah guyonan ya pak kalo kuliah biar gak ngantuk,good job pak tambah guyon pak kalo kuliah biar gak ngantuk,1
"Penjelasan Materi dan contoh-contoh soal terlalu cepat menjelaskannya, sehingga kurang dimengerti",jelas materi contoh soal terlalu cepat jelas kurang erti,0
"Kalau senin pagi, jangan jam 7 pas dong pak mulainya setengah 8 kek.",kalau senin pagi jangan jam 7 pas dong pak mulai tengah 8 kek,0
Kurang Praktek,kurang praktek,0
Menjelaskan dengan mengitung ulang contoh yang ada/dijelaskan cara mengerjakan soal.,jelas mengitung ulang contoh ada jelas cara kerja soal,0
Terimakasih bapak yang telah ............,terimakasih bapak telah,1
ditambahkan permainan-permainan yang menarik pak.,tambah main tarik pak,1
Untuk kedepannya soalnya jangan susah-susah ya pak,depan soal jangan susah pak,1
Pak soalnya jangan susah-susah ya ??,pak soal jangan susah,1
Lebih di jelaskan lagi dengan jelas dan mengerjakan soal bersama.,lebih jelas dengan jelas kerja soal sama,0
Agar dipertegas dalam mengajar,tegas ajar,0
Lebih semangat lagi dalam proses belajar-mengajar sehingga mahasiswanya juga ikutan semangat ya pak....,lebih semangat dalam proses ajar mahasiswa ikut semangat pak,1
Cara mengajarnya perlu diperbaiki lagi pak biar bisa menambah semangat belajar.,cara ajar perlu baik pak biar tambah semangat ajar,0
Mohon dimengerti mhs kalo memang ga paham jgn dipaksa lgsg paham dgn sesingkat ini,mohon erti mhs kalo memang ga paham jgn paksa lgsg paham dgn singkat,0
"Lanjutkan Kedisiplinan bapak moga"" mahasiswa bisa mengikuti kedisiplinan yang bapak terapkan dikehidupan bapak",lanjut disiplin bapak moga mahasiswa ikut disiplin bapak terap hidup bapak,1
metode pembelajaran yang kurang baik,metode ajar kurang baik,0
jangan bolos kami sudah bayar.,jangan bolos sudah bayar,0
"Lbh disiplin waktu perkuliahan, jika memang merencanakan jam kosong, hrp ngabari, agar mhs tdk sia2 dikampus.",lbh disiplin waktu kuliah memang rencana jam kosong hrp ngabari mhs tdk sia2 kampus,0
"Sebaiknya dosen mengembalikan tugas yg telah dikoreksi kpd mhs, agar mhs dpt mengetahui materi2 yg belum dikuasasi.",baik dosen tugas yg koreksi kpd mhs mhs dpt tahu materi2 yg asasi,1
metode mengajar paling buruk yg pernah ada di dunia Forum diskusi antar mhs tidak akan berpengaruh karena pengetahuan rata2 sama . Pesen harusnya menyajikan materi terlebih dahulu baru membuka forum diskusi,metode ajar paling buruk yg pernah di dunia forum diskusi antar mhs akan pengaruh tahu rata2 sama sen saji materi lebih baru buka forum diskusi,0
Mohon utk menampilkan contoh materi yg real agar mhs dpt secara mudah memahami. dan mhn berikan referensi spy kami bisa lebih mengejar materi yg serupa & berhub.,mohon utk tampil contoh materi yg real mhs dpt cara mudah paham mhn ikan referensi spy bisa lebih kejar materi yg rupa berhub,1
Suka...!,suka,0
Saya harap agar memahami mhs yg terbatas berpikir bukan hanya ada struktur data yg ada tugas yg juga perlu !!!,harap paham mhs yg batas pikir bukan struktur data yg ada tugas yg perlu,0
"Penyampaian materi yg sering tdk dimengerti, pemberian contoh yg jelas.",materi yg sering tdk erti beri contoh yg jelas,0
"Terus tingkatkan, tapi kalau mengajar jangan terlalu cepat...!!!",terus tingkat kalau ajar jangan terlalu cepat,0
Mohon utk menjelaskan materi yg ada dgn jelas krn mhs kurang begitu paham.,mohon utk jelas materi yg dgn jelas krn mhs kurang paham,0
Dalam menerangkan materi perkuliahan dimohon untuk tidak terlalu cepat..!!,terang materi kuliah mohon tidak terlalu cepat,0
Semangat,semangat,1
No Coment !!!,no coment,1
Lebih banyak diberikan latihan soal.,lebih banyak beri latih soal,1
Semangat diajar bu el...,semangat ajar bu el,0
Semangat 45 pak,semangat 45 pak,1
Terlalu disiplin bikin mahaiswa mudah bosan,terlalu disiplin bikin mahaiswa mudah bosan,0
tingkatkan,tingkat,0
"Lanjutkan, kuasai kelas dengan baik.",lanjut kuasa kelas baik,1
"Klu memang tdk  bisa datang harap menghubungi ketua kelas, sehingga kami tdk hrs menunggu tanpa kejelasan.",klu memang tdk datang harap hubung ketua kelas kami tdk hrs tunggu jelas,0
Lanjutkan !!!,lanjut,0
Bingung dosennya ganti-ganti Tapi tidak apa-apa asal nilai mantap Kalau bisa dosennya ynag menetap !!!,bingung dosen ganti tidak apa asal nilai mantap kalau dosen ynag tetap,0
ngantuk buuu....,ngantuk buuu,0
kecerdasan buatan kelas D dosennya kurang banyak !!!!,cerdas buat kelas d dosen kurang banyak,0
jangan terlalu banyak paki dosen cadangan,jangan terlalu banyak paki dosen cadang,0
Hak mhs menuntut kebijakan tanggung jawabnya membayar kuliah,hak mhs tuntut bijak tanggung jawab bayar kuliah,0
Dosennya jangan ganti-ganti !!!!!,dosen jangan ganti,0
Pertahankan,tahan,0
"Cara mengatar terlalu cepat, terkadang mengerti terkadang tidak.",cara atar terlalu cepat terkadang erti terkadang,0
Mohon jika menjelaskan materi diperjelas.,mohon jelas materi jelas,0
Lanjutkan,lanjut,0
Perpaduan slide kurang menarik diperbaiki lagi,padu slide kurang tarik baik,1
Jangan terlalu cepat untuk menjelaskan materi,jangan terlalu cepat jelas materi,0
No Comment,no comment,1
Pelajaran Fisika kurang efektif jika menggunakan E-learning.,ajar fisika kurang efektif guna e-learning,0
"Materi yg dijelaskan sudah baik, perbanyak soal-soal.",materi yg jelas baik banyak soal,1
No coment,no coment,1
Sudah sangat jelas dan sangat menguasai materi dan dlm sistem perkuliahan.,sangat jelas sangat kuasa materi dlm sistem kuliah,1
"Jangan sering-sering ganti dosen, soalnya membuat mhs bingung mengikuti cara belajar dosen yg berbeda-beda",jangan sering ganti dosen soal buat mhs bingung ikut cara ajar dosen yg beda,0
"Materinya terlalu banyak, Agak rumit dicerna....",materi terlalu banyak rumit cerna,0
kurang disiplin ! penguasaan materi bagus,kurang disiplin kuasa materi bagus,1
Dosen sdh cukup profesional dalam bidang pengajaran mata kuliah ini.,dosen sdh cukup profesional bidang ajar mata kuliah,0
Untuk lebih berurutan dalam menyajikan materi kuliah agar meningkatkan minat belajar mahasiswa,lebih rurut saji materi kuliah tingkat minat ajar mahasiswa,0
Saran saya sih gak usah cepet,saran sih gak usah cepet,0
Sudah cukup baik,cukup baik,1
Semangat 45 bu,semangat 45 bu,1
Lebih tingkatkan cara mengajar yang mudah di pahami,lebih tingkat cara ajar mudah paham,0
Keep smile,keep smile,0
"Tingkatkan cara penjelasan bu, jangan terlalu cepat.",tingkat cara jelas bu jangan terlalu cepat,0
Tingkatkan lagi cara mengajar yang simple jelas danmudah dimengerti para mahasiswa,tingkat cara ajar simple jelas danmudah erti mahasiswa,0
Jangan sering-sering kosong/diganti dosen lain karena membuat bingung mhs dalam beradaptasi dgn dosen-dosen yg berganti ganti dlm penyampaian materi,jangan sering kosong ganti dosen karena buat bingung mhs adaptasi dgn dosen yg ganti ganti dlm materi,0
Kegiatan pembelajaran sudah baik,giat ajar baik,0
Kalau memberi materi jangan terlalu keburu-buru dan jangan terlalu cepat. diharapkan santai kalm,kalau beri materi jangan terlalu keburu-buru jangan terlalu cepat harap santai kalm,0
Saat pembelajaran di tambahi sedikit humor,ajar tambah sedikit humor,0
Semoga bisa mengajar lebih baik lagi,moga ajar lebih baik,1
"Tetap semangat bu, walaupun jarak kampus 2 dan 3 cukup jauh. Semoga nambah rezeki amin...",tetap semangat bu walaupun jarak kampus 2 3 cukup jauh moga nambah rezeki amin,1
Sebaiknya udah terlalu cepat dalam penyampaian materi,baik udah terlalu cepat sampai materi,0
